RPM,SPEED,THROTTLE_POS,MAF,COOLANT_TEMP,INTAKE_TEMP,O2_B1S1,ENGINE_LOAD,INTAKE_PRESSURE,O2_B1S2,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,segment_id
2969,105,37.25,13.34,97,26,0.66,17.25,79,0.2,5.469,6.25,6
2852,101,38.82,14.85,97,26,0.005,20,86,0.57,0.7812,7.031,6
2878,102,40.78,16.87,97,26,0.005,22.35,89,0.57,-3.906,7.031,6
2940,104,41.96,18.18,97,26,0.005,23.53,90,0.57,-9.375,5.469,6
2993,106,40.39,16.72,97,26,0.19,21.18,89,0.56,-3.125,3.906,6
3028,107,40.78,16.76,97,26,0.19,21.18,89,0.56,2.344,3.906,6
3150,111,41.57,19.02,97,26,0.19,23.14,89,0.56,0,-0.7812,6
3271,115,44.71,23.94,97,26,0.435,27.45,91,0.16,-1.562,-1.562,6
3304,117,38.82,15.67,97,26,0.435,17.65,80,0.16,3.906,0.7812,6
3246,115,40,17.25,97,26,0.435,20,86,0.16,1.562,3.906,6
3059,108,27.06,4,98,26,0.725,4.706,25,0.25,0,17.97,6
2911,103,36.86,12.27,98,26,0.725,16.47,74,0.25,0,10.16,6
2870,101,35.69,11.62,98,26,0.725,15.69,72,0.25,2.344,10.16,6
2797,99,40,17.78,98,26,0.16,24.71,89,0.17,2.344,8.594,6
2887,102,44.71,22.53,98,26,0.16,30.59,93,0.17,2.344,-0.7812,6
2918,103,43.53,18.74,98,26,0.16,24.71,95,0.17,-3.125,3.906,6
2936,104,40.39,16.6,97,26,0.69,21.57,91,0.17,-1.562,3.906,6
2965,105,34.12,9.11,97,26,0.69,11.76,58,0.17,7.812,10.94,6
3009,106,37.65,13.54,97,26,0.69,17.25,83,0.17,5.469,4.688,6
3004,106,33.73,8.85,97,26,0.675,11.37,46,0.15,-13.28,12.5,6
2914,103,33.73,8.71,97,26,0.675,11.37,55,0.15,4.688,10.94,6
2914,103,37.25,12.94,97,26,0.675,16.86,77,0.15,0.7812,10.16,6
2967,105,40,16.62,97,26,0.755,21.57,90,0.71,1.562,5.469,6
2988,106,40.39,16.46,97,26,0.755,21.18,89,0.71,0,5.469,6
3014,106,39.22,15.27,97,26,0.755,19.22,88,0.71,-3.906,5.469,6
3005,106,36.86,12.87,97,26,0.655,16.47,78,0.195,0.7812,5.469,6
3034,107,40,16.31,97,26,0.655,20.39,90,0.195,-3.906,4.688,6
3038,107,38.43,14.5,97,26,0.655,18.04,85,0.195,-2.344,4.688,6
2843,100,27.45,4.33,96,26,0.83,5.882,25,0.15,0,17.97,6
2908,102,61.18,30.7,96,26,0.83,40,98,0.15,-0.7812,-3.125,6
3084,109,36.86,12.66,96,26,0.83,15.29,75,0.15,0.7812,3.125,6
3085,109,39.22,15.58,96,26,0.095,19.22,85,0.1,5.469,3.125,6
3063,108,39.61,15.88,96,26,0.095,19.61,86,0.1,3.906,2.344,6
3010,106,37.25,13.04,96,26,0.095,16.08,78,0.1,0.7812,10.16,6
2987,105,38.82,14.96,96,26,0.105,19.22,84,0.19,4.688,3.906,6
2870,101,37.65,13.62,96,26,0.105,18.43,80,0.19,0.7812,10.16,6
2878,102,38.43,14.63,96,26,0.105,19.61,82,0.19,0,4.688,6
2878,102,38.04,14.06,96,26,0.605,18.82,83,0.38,3.906,6.25,6
2890,102,41.96,18.26,96,26,0.605,24.31,91,0.38,-3.125,0,6
2945,104,34.9,10.03,96,26,0.605,12.94,63,0.38,-2.344,9.375,6
2897,102,37.65,13.6,96,26,0.16,18.04,80,0.655,-4.688,10.16,6
2892,102,35.69,11.38,96,26,0.16,14.9,70,0.655,1.562,10.16,6
2810,99,32.55,7.69,96,26,0.16,10.59,36,0.655,-7.031,16.41,6
2762,97,35.69,11.22,96,26,0.04,16.08,70,0.695,-0.7812,9.375,6
2749,97,40.39,16.99,96,26,0.04,24.31,87,0.695,0,6.25,6
2816,99,40,16.49,96,26,0.04,22.75,86,0.695,-3.125,6.25,6
2839,100,32.55,7.71,96,26,0.135,10.59,50,0.555,0.7812,10.16,6
2802,99,33.73,9,96,26,0.135,12.55,57,0.555,3.125,10.16,6
2785,98,41.57,17.69,96,26,0.135,24.71,89,0.555,-3.906,6.25,6
2831,100,38.82,14.31,96,26,0.69,19.22,86,0.665,-3.125,6.25,6
2771,98,36.86,12.69,96,26,0.69,18.04,77,0.665,3.906,10.16,6
2797,99,40,16.5,96,26,0.69,22.75,86,0.665,0.7812,6.25,6
2830,100,40,15.91,96,26,0.66,21.57,86,0.66,0.7812,6.25,6
2901,102,42.35,18.2,96,26,0.66,23.92,90,0.66,0.7812,6.25,6
2907,103,40.78,17.02,96,26,0.66,22.35,90,0.66,-3.125,6.25,6
2907,103,40.39,16.24,96,26,0.11,21.57,89,0.2,-4.688,6.25,6
2934,104,40.39,16.38,96,26,0.11,21.57,89,0.2,-3.125,6.25,6
2972,105,40,16.02,96,26,0.11,20.39,87,0.2,-0.7812,6.25,6
3006,106,40,15.93,97,26,0.65,20.39,87,0.155,-5.469,5.469,6
2964,105,32.94,7.91,97,26,0.65,10.2,50,0.155,0.7812,10.16,6
2892,102,33.33,8.3,97,26,0.65,10.98,52,0.155,-0.7812,10.16,6
2919,103,36.08,11.55,97,26,0.4,15.29,71,0.17,-3.125,10.16,6
2966,105,38.82,15.02,97,26,0.4,19.22,84,0.17,-2.344,5.469,6
2963,105,38.43,14.06,97,26,0.4,18.04,82,0.17,3.906,5.469,6
2962,105,38.82,14.92,96,26,0.19,19.22,86,0.17,-3.125,5.469,6
2946,104,38.82,14.65,96,26,0.19,18.82,85,0.17,-1.562,5.469,6
2966,105,40,16.14,96,26,0.19,20.78,88,0.17,-4.688,5.469,6
2974,105,37.25,13.17,96,26,0.125,16.86,78,0.22,0.7812,5.469,6
